datetime,open,high,low,close
2025-05-05T00:00:00.000000,94230.2,95165.1,93445.1,94696.7
2025-05-06T00:00:00.000000,94696.7,96879.5,93327.0,96798.9
2025-05-07T00:00:00.000000,96798.9,97700.0,95718.5,96988.4
2025-05-08T00:00:00.000000,96988.4,104305.3,96831.5,103228.1
2025-05-09T00:00:00.000000,103228.0,104373.0,102240.0,102941.9
2025-05-10T00:00:00.000000,102941.9,105000.1,102784.0,104788.8
2025-05-11T00:00:00.000000,104788.8,104950.0,103283.3,104072.7
2025-05-12T00:00:00.000000,104072.7,105863.1,100678.0,102739.3
2025-05-13T00:00:00.000000,102739.3,104949.2,101400.0,104082.0
2025-05-14T00:00:00.000000,104082.0,104319.0,102536.0,103458.1
2025-05-15T00:00:00.000000,103458.1,104162.8,101270.8,103714.5
2025-05-16T00:00:00.000000,103714.2,104524.2,103062.3,103412.2
2025-05-17T00:00:00.000000,103412.2,103658.0,102541.6,103079.6
2025-05-18T00:00:00.000000,103079.5,106629.8,103052.2,106407.6
2025-05-19T00:00:00.000000,106407.5,107114.3,102038.8,105531.6
2025-05-20T00:00:00.000000,105531.5,107292.5,104115.2,106800.1
2025-05-21T00:00:00.000000,106800.0,110830.0,106037.9,109609.5
2025-05-22T00:00:00.000000,109609.6,111959.5,109153.4,111662.7
2025-05-23T00:00:00.000000,111662.6,111770.4,106721.9,107271.5
2025-05-24T00:00:00.000000,107271.6,109440.2,106836.0,107698.9
2025-05-25T00:00:00.000000,107699.0,109285.1,106497.0,108955.9
2025-05-26T00:00:00.000000,108956.0,110400.0,108616.6,109386.8
2025-05-27T00:00:00.000000,109386.8,110700.0,107438.0,108889.3
2025-05-28T00:00:00.000000,108889.2,109252.6,106723.9,107723.1
2025-05-29T00:00:00.000000,107723.1,108860.0,105054.2,105539.9
2025-05-30T00:00:00.000000,105539.9,106266.0,103555.0,103950.0
2025-05-31T00:00:00.000000,103949.9,104859.3,103032.1,104544.7
2025-06-01T00:00:00.000000,104544.6,105823.6,103704.1,105583.3
2025-06-02T00:00:00.000000,105583.3,105900.0,103600.6,105814.3
2025-06-03T00:00:00.000000,105814.4,106775.0,104822.4,105330.1
2025-06-04T00:00:00.000000,105330.1,105967.2,104111.7,104641.8
2025-06-05T00:00:00.000000,104641.8,105878.3,100305.1,101458.6
2025-06-06T00:00:00.000000,101458.7,105283.0,101003.4,104240.0
2025-06-07T00:00:00.000000,104240.1,105878.3,103800.1,105507.5
2025-06-08T00:00:00.000000,105507.5,106482.6,104927.4,105676.5
2025-06-09T00:00:00.000000,105676.5,110653.6,105253.2,110227.9
2025-06-10T00:00:00.000000,110228.0,110367.2,108282.0,110235.4
2025-06-11T00:00:00.000000,110235.4,110350.0,108001.2,108600.0
2025-06-12T00:00:00.000000,108600.1,108782.1,105602.0,105609.5
2025-06-13T00:00:00.000000,105609.4,106141.1,102614.0,106027.3
2025-06-14T00:00:00.000000,106027.3,106173.6,104225.4,105359.9
2025-06-15T00:00:00.000000,105359.8,106099.4,104399.9,105534.6
2025-06-16T00:00:00.000000,105534.7,108900.0,104920.0,106750.1
2025-06-17T00:00:00.000000,106750.1,107727.4,103300.0,104508.0
