datetime,open,high,low,close
2025-05-05T00:00:00.000000,94230.2,94778.5,93445.1,94696.4
2025-05-05T08:00:00.000000,94696.4,94726.8,93559.6,93726.0
2025-05-05T16:00:00.000000,93726.0,95165.1,93705.3,94696.7
2025-05-06T00:00:00.000000,94696.7,94893.3,93961.0,94350.0
2025-05-06T08:00:00.000000,94350.0,94697.2,93327.0,94513.2
2025-05-06T16:00:00.000000,94513.2,96879.5,94145.4,96798.9
2025-05-07T00:00:00.000000,96798.9,97700.0,96153.2,96940.0
2025-05-07T08:00:00.000000,96940.0,97446.8,96655.2,96889.0
2025-05-07T16:00:00.000000,96889.0,97363.8,95718.5,96988.4
2025-05-08T00:00:00.000000,96988.4,99374.3,96831.5,99212.0
2025-05-08T08:00:00.000000,99212.1,101493.2,99050.1,100730.8
2025-05-08T16:00:00.000000,100730.9,104305.3,100550.0,103228.1
2025-05-09T00:00:00.000000,103228.0,104373.0,102327.9,103597.4
2025-05-09T08:00:00.000000,103597.4,103920.0,102358.0,102852.9
2025-05-09T16:00:00.000000,102853.0,103366.0,102240.0,102941.9
2025-05-10T00:00:00.000000,102941.9,104085.0,102784.0,103721.7
2025-05-10T08:00:00.000000,103721.7,104066.2,103038.7,103102.6
2025-05-10T16:00:00.000000,103102.6,105000.1,102940.0,104788.8
2025-05-11T00:00:00.000000,104788.8,104950.0,103283.3,103327.9
2025-05-11T08:00:00.000000,103327.8,104873.5,103321.0,104083.0
2025-05-11T16:00:00.000000,104082.9,104800.0,103502.4,104072.7
2025-05-12T00:00:00.000000,104072.7,105863.1,103664.8,104426.2
2025-05-12T08:00:00.000000,104426.3,104684.0,102345.0,102481.7
2025-05-12T16:00:00.000000,102481.8,103080.9,100678.0,102739.3
2025-05-13T00:00:00.000000,102739.3,102900.0,101400.0,102624.0
2025-05-13T08:00:00.000000,102624.0,103930.1,102507.6,103633.1
2025-05-13T16:00:00.000000,103633.0,104949.2,103488.2,104082.0
2025-05-14T00:00:00.000000,104082.0,104086.5,103314.0,103662.2
2025-05-14T08:00:00.000000,103662.2,104319.0,102773.4,103461.4
2025-05-14T16:00:00.000000,103461.3,103675.0,102536.0,103458.1
2025-05-15T00:00:00.000000,103458.1,103820.0,101677.0,101733.9
2025-05-15T08:00:00.000000,101734.0,103242.0,101270.8,103211.2
2025-05-15T16:00:00.000000,103211.2,104162.8,102500.0,103714.5
2025-05-16T00:00:00.000000,103714.2,104440.1,103414.8,103646.6
2025-05-16T08:00:00.000000,103646.5,104258.7,103062.3,104144.0
2025-05-16T16:00:00.000000,104144.0,104524.2,103361.6,103412.2
2025-05-17T00:00:00.000000,103412.2,103658.0,102541.6,103399.4
2025-05-17T08:00:00.000000,103399.5,103524.7,102591.0,102900.0
2025-05-17T16:00:00.000000,102900.1,103458.6,102706.6,103079.6
2025-05-18T00:00:00.000000,103079.5,103949.6,103052.2,103893.0
2025-05-18T08:00:00.000000,103893.0,105665.3,103660.7,105484.2
2025-05-18T16:00:00.000000,105484.2,106629.8,103217.2,106407.6
2025-05-19T00:00:00.000000,106407.5,107114.3,102038.8,103167.0
2025-05-19T08:00:00.000000,103167.1,104920.2,102088.9,104740.4
