datetime,open,high,low,close
2024-10-29T00:00:00.000000,69939.9,71607.0,69733.0,71004.2
2024-10-29T08:00:00.000000,71004.1,72490.0,70900.0,72374.9
2024-10-29T16:00:00.000000,72374.9,73660.0,71871.1,72739.5
2024-10-30T00:00:00.000000,72739.5,72797.4,72018.0,72244.8
2024-10-30T08:00:00.000000,72244.8,72620.0,71444.2,72058.8
2024-10-30T16:00:00.000000,72058.8,72984.9,71631.6,72349.0
2024-10-31T00:00:00.000000,72349.0,72598.5,72030.5,72417.8
2024-10-31T08:00:00.000000,72417.8,72720.3,70453.1,70638.7
2024-10-31T16:00:00.000000,70638.6,70922.4,69705.0,70321.9
2024-11-01T00:00:00.000000,70321.9,70500.0,68870.4,69301.0
2024-11-01T08:00:00.000000,69301.0,71650.0,69036.0,69381.0
2024-11-01T16:00:00.000000,69381.1,70543.3,68822.5,69495.5
2024-11-02T00:00:00.000000,69495.4,69913.1,69450.0,69813.1
2024-11-02T08:00:00.000000,69813.0,69846.2,69022.8,69394.0
2024-11-02T16:00:00.000000,69393.9,69610.9,69150.1,69366.6
2024-11-03T00:00:00.000000,69366.6,69393.7,67846.0,68395.6
2024-11-03T08:00:00.000000,68395.5,68605.5,67446.6,68076.0
2024-11-03T16:00:00.000000,68075.6,69348.0,67660.0,68762.5
2024-11-04T00:00:00.000000,68762.5,69495.3,68220.0,68601.0
2024-11-04T08:00:00.000000,68601.0,69243.8,68173.3,68614.7
2024-11-04T16:00:00.000000,68614.8,68808.6,66810.0,67834.3
2024-11-05T00:00:00.000000,67834.4,68967.0,67454.2,68876.0
2024-11-05T08:00:00.000000,68875.9,70300.0,68588.2,69615.3
2024-11-05T16:00:00.000000,69615.2,70537.4,68650.0,69353.1
2024-11-06T00:00:00.000000,69353.1,75656.1,69272.7,73435.9
2024-11-06T08:00:00.000000,73435.8,74801.1,72721.5,74289.6
2024-11-06T16:00:00.000000,74289.7,76420.0,74134.5,75579.9
2024-11-07T00:00:00.000000,75579.9,76072.5,74450.0,74800.0
2024-11-07T08:00:00.000000,74800.0,76094.6,74508.0,76081.6
2024-11-07T16:00:00.000000,76081.5,76900.0,75471.1,75859.4
2024-11-08T00:00:00.000000,75859.4,76350.2,75576.3,76171.0
2024-11-08T08:00:00.000000,76171.0,76627.8,75620.1,76423.3
2024-11-08T16:00:00.000000,76423.3,77182.9,75820.0,76482.2
2024-11-09T00:00:00.000000,76482.2,76800.0,76122.4,76523.9
2024-11-09T08:00:00.000000,76523.9,76735.0,76255.0,76305.7
2024-11-09T16:00:00.000000,76305.6,76920.0,75683.2,76675.1
2024-11-10T00:00:00.000000,76675.1,79882.8,76501.1,78858.2
2024-11-10T08:00:00.000000,78858.2,80200.0,78858.1,79735.1
2024-11-10T16:00:00.000000,79735.1,81699.8,78549.2,80410.0
2024-11-11T00:00:00.000000,80409.9,81944.6,80261.2,81147.9
2024-11-11T08:00:00.000000,81147.8,84359.7,81051.6,84114.2
2024-11-11T16:00:00.000000,84114.1,89800.0,83897.2,88728.9
2024-11-12T00:00:00.000000,88729.0,90070.1,86657.4,89095.4
2024-11-12T08:00:00.000000,89095.5,89590.2,85159.9,86659.9
2024-11-12T16:00:00.000000,86660.0,89920.0,85792.5,87972.0
2024-11-13T00:00:00.000000,87972.0,88619.0,86180.0,87402.9
2024-11-13T08:00:00.000000,87402.9,92808.0,87132.4,92608.1
2024-11-13T16:00:00.000000,92608.0,93421.1,88005.1,90413.3
2024-11-14T00:00:00.000000,90413.3,90900.0,89095.5,90818.9
2024-11-14T08:00:00.000000,90818.9,91846.1,87855.0,88000.0
2024-11-14T16:00:00.000000,87999.9,89763.9,86714.0,87382.7
2024-11-15T00:00:00.000000,87382.6,88544.5,87111.0,87693.9
2024-11-15T08:00:00.000000,87693.9,90780.0,87418.4,88485.4
2024-11-15T16:00:00.000000,88485.5,91921.5,88428.9,91074.6
2024-11-16T00:00:00.000000,91074.6,91849.8,90900.0,91173.3
2024-11-16T08:00:00.000000,91173.3,91650.1,90120.0,90578.0
2024-11-16T16:00:00.000000,90577.9,91443.5,90250.0,90643.3
2024-11-17T00:00:00.000000,90643.2,90954.9,89400.1,90600.0
2024-11-17T08:00:00.000000,90600.0,91539.6,89935.7,90305.1
2024-11-17T16:00:00.000000,90305.2,90701.0,88736.1,89899.9
2024-11-18T00:00:00.000000,89900.0,92414.9,89666.9,91795.9
2024-11-18T08:00:00.000000,91795.9,92700.0,89422.1,92407.8
2024-11-18T16:00:00.000000,92407.8,92675.9,89706.2,90507.4
2024-11-19T00:00:00.000000,90507.4,92123.7,90405.6,91696.0
2024-11-19T08:00:00.000000,91696.1,92885.0,91015.6,92453.3
2024-11-19T16:00:00.000000,92455.5,93985.9,91334.4,92335.9
2024-11-20T00:00:00.000000,92335.9,92866.6,91500.0,92856.6
2024-11-20T08:00:00.000000,92856.6,94849.0,92730.2,94737.6
2024-11-20T16:00:00.000000,94737.6,94840.0,93093.3,94288.0
2024-11-21T00:00:00.000000,94288.0,97899.9,94008.7,96950.0
2024-11-21T08:00:00.000000,96950.0,98438.9,95625.0,96684.0
2024-11-21T16:00:00.000000,96684.1,99100.0,96311.0,98366.8
2024-11-22T00:00:00.000000,98366.8,99537.6,97860.1,99252.6
2024-11-22T08:00:00.000000,99252.6,99340.0,97199.9,98696.5
2024-11-22T16:00:00.000000,98696.6,99660.0,98264.2,98921.4
2024-11-23T00:00:00.000000,98921.5,98937.3,98309.9,98600.6
2024-11-23T08:00:00.000000,98600.5,98916.8,98355.0,98426.0
2024-11-23T16:00:00.000000,98426.1,98504.4,97173.5,97725.5
2024-11-24T00:00:00.000000,97725.6,98666.0,97670.9,98490.1
2024-11-24T08:00:00.000000,98490.1,98578.9,95976.0,95986.4
2024-11-24T16:00:00.000000,95986.3,98429.7,95822.1,97960.4
2024-11-25T00:00:00.000000,97960.5,98421.6,96929.9,98112.9
2024-11-25T08:00:00.000000,98113.0,98999.0,94665.4,96040.4
2024-11-25T16:00:00.000000,96040.4,96562.7,92666.0,93064.0
2024-11-26T00:00:00.000000,93064.0,95064.0,92800.1,93842.1
2024-11-26T08:00:00.000000,93842.1,93846.1,91553.0,92877.4
2024-11-26T16:00:00.000000,92877.4,94745.2,90866.4,92021.4
2024-11-27T00:00:00.000000,92021.5,93721.8,91864.0,93651.3
2024-11-27T08:00:00.000000,93651.3,95908.0,92903.4,95610.5
2024-11-27T16:00:00.000000,95610.4,97250.0,95238.7,95905.2
2024-11-28T00:00:00.000000,95905.2,96627.6,94878.2,95371.6
2024-11-28T08:00:00.000000,95371.5,96284.0,94700.1,95067.3
2024-11-28T16:00:00.000000,95067.3,96082.7,94768.0,95694.4
2024-11-29T00:00:00.000000,95694.4,96932.9,95404.5,95690.2
2024-11-29T08:00:00.000000,95690.2,98713.3,95690.1,98076.2
2024-11-29T16:00:00.000000,98076.3,98514.9,96903.2,97516.3
2024-11-30T00:00:00.000000,97516.2,97522.1,96400.0,96843.3
2024-11-30T08:00:00.000000,96843.3,97047.2,96150.0,96707.4
2024-11-30T16:00:00.000000,96707.4,97128.4,96380.0,96475.1
2024-12-01T00:00:00.000000,96475.2,96746.3,95736.5,96525.4
2024-12-01T08:00:00.000000,96525.4,97481.3,96480.0,97081.4
2024-12-01T16:00:00.000000,97081.5,97933.0,96852.7,97265.1
2024-12-02T00:00:00.000000,97265.0,98266.0,95788.4,96053.6
2024-12-02T08:00:00.000000,96053.5,97286.2,94826.0,97106.5
2024-12-02T16:00:00.000000,97106.6,97435.0,94400.0,95890.5
2024-12-03T00:00:00.000000,95890.6,96375.0,95336.3,95608.8
2024-12-03T08:00:00.000000,95608.8,96315.5,93605.0,95743.7
2024-12-03T16:00:00.000000,95744.7,96236.3,94925.8,95913.3
2024-12-04T00:00:00.000000,95913.3,96799.9,95271.6,96652.1
2024-12-04T08:00:00.000000,96652.2,97041.1,95398.1,95813.0
2024-12-04T16:00:00.000000,95813.0,99099.9,94650.8,98669.8
2024-12-05T00:00:00.000000,98669.8,104630.4,97970.5,102292.1
2024-12-05T08:00:00.000000,102292.1,103661.7,100932.6,101350.1
2024-12-05T16:00:00.000000,101350.1,102063.8,90200.0,97001.5
2024-12-06T00:00:00.000000,97001.6,98858.6,96429.5,98209.6
2024-12-06T08:00:00.000000,98209.7,99592.1,97550.0,99358.5
2024-12-06T16:00:00.000000,99358.5,101988.8,98800.0,99802.5
2024-12-07T00:00:00.000000,99802.5,100499.0,98876.9,99442.6
2024-12-07T08:00:00.000000,99442.6,99895.3,99101.7,99811.4
2024-12-07T16:00:00.000000,99811.5,100497.5,99528.0,99899.2
2024-12-08T00:00:00.000000,99899.2,100415.0,99388.5,99741.5
2024-12-08T08:00:00.000000,99741.6,100597.5,98709.4,99975.0
2024-12-08T16:00:00.000000,99974.9,101457.9,99538.4,101200.0
2024-12-09T00:00:00.000000,101200.1,101300.0,98374.3,99637.1
2024-12-09T08:00:00.000000,99637.2,100481.3,97555.0,97856.0
2024-12-09T16:00:00.000000,97856.1,98448.5,94039.7,97349.1
2024-12-10T00:00:00.000000,97349.1,98197.8,95591.9,97217.7
2024-12-10T08:00:00.000000,97217.7,98320.6,95639.5,95687.9
2024-12-10T16:00:00.000000,95674.8,97238.9,94265.5,96602.4
2024-12-11T00:00:00.000000,96602.3,97800.0,95650.0,97337.9
2024-12-11T08:00:00.000000,97337.9,100798.6,97310.6,100352.7
2024-12-11T16:00:00.000000,100352.7,101880.0,99583.4,101115.3
2024-12-12T00:00:00.000000,101115.3,101812.3,100309.8,100481.6
2024-12-12T08:00:00.000000,100481.5,101850.0,100150.0,101775.1
2024-12-12T16:00:00.000000,101775.1,102538.4,99280.2,99982.4
2024-12-13T00:00:00.000000,99982.3,100333.0,99149.6,100100.0
2024-12-13T08:00:00.000000,100099.9,101339.0,99653.6,99831.0
2024-12-13T16:00:00.000000,99831.0,101869.5,99750.0,101371.9
2024-12-14T00:00:00.000000,101371.9,102638.0,101106.1,101787.0
2024-12-14T08:00:00.000000,101787.0,101840.2,100777.0,101601.9
2024-12-14T16:00:00.000000,101601.9,101716.3,100559.8,101381.0
2024-12-15T00:00:00.000000,101381.0,102900.0,101200.1,101671.9
2024-12-15T08:00:00.000000,101671.8,103362.3,101525.2,102668.5
2024-12-15T16:00:00.000000,102668.5,105374.6,102556.3,104460.4
2024-12-16T00:00:00.000000,104460.5,106665.8,104245.2,104949.9
2024-12-16T08:00:00.000000,104950.0,106466.9,103264.6,106281.2
2024-12-16T16:00:00.000000,106281.1,107777.0,105424.0,106023.2
2024-12-17T00:00:00.000000,106023.2,107113.9,105623.0,106784.0
2024-12-17T08:00:00.000000,106784.0,108366.8,105674.0,106429.9
2024-12-17T16:00:00.000000,106429.9,107596.0,105252.0,106074.6
2024-12-18T00:00:00.000000,106074.6,106484.6,103065.6,104200.1
2024-12-18T08:00:00.000000,104200.1,105343.8,103611.7,104395.1
2024-12-18T16:00:00.000000,104395.2,104959.4,99951.1,100181.1
2024-12-19T00:00:00.000000,100181.2,101694.9,98744.0,101615.2
2024-12-19T08:00:00.000000,101615.1,102756.7,99455.0,100631.1
2024-12-19T16:00:00.000000,100631.1,101162.5,95681.2,97434.4
2024-12-20T00:00:00.000000,97434.3,98243.0,95946.9,97826.1
2024-12-20T08:00:00.000000,97826.1,97867.5,92272.6,96961.3
2024-12-20T16:00:00.000000,96961.4,97777.0,95393.8,97764.4
2024-12-21T00:00:00.000000,97764.5,99485.0,97142.0,98988.1
2024-12-21T08:00:00.000000,98988.0,99137.5,96375.0,97486.5
2024-12-21T16:00:00.000000,97486.6,98084.9,96520.0,97261.8
2024-12-22T00:00:00.000000,97261.7,97437.9,95867.3,96192.1
2024-12-22T08:00:00.000000,96192.1,97322.1,95085.0,95341.0
2024-12-22T16:00:00.000000,95341.0,96426.7,94200.0,95153.5
2024-12-23T00:00:00.000000,95153.4,96488.8,93655.3,95360.5
2024-12-23T08:00:00.000000,95360.5,96499.0,93060.3,93217.6
2024-12-23T16:00:00.000000,93217.7,95480.4,92464.4,94861.1
2024-12-24T00:00:00.000000,94861.0,94861.1,93525.6,94200.0
2024-12-24T08:00:00.000000,94199.9,98274.9,93800.0,98243.5
2024-12-24T16:00:00.000000,98243.5,99450.0,97226.2,98627.2
2024-12-25T00:00:00.000000,98626.9,98848.4,97681.3,98049.7
2024-12-25T08:00:00.000000,98049.8,99323.3,97570.0,98493.3
2024-12-25T16:00:00.000000,98493.3,99580.7,98100.0,99379.7
2024-12-26T00:00:00.000000,99379.6,99950.0,97647.2,97669.6
2024-12-26T08:00:00.000000,97669.5,97721.8,95153.0,95993.5
2024-12-26T16:00:00.000000,95993.1,96580.0,95276.4,95751.0
2024-12-27T00:00:00.000000,95750.9,96580.0,94620.0,95074.4
2024-12-27T08:00:00.000000,95080.1,97564.5,93982.4,94539.9
2024-12-27T16:00:00.000000,94539.9,94979.9,93440.0,94258.9
2024-12-28T00:00:00.000000,94258.9,94762.3,94100.0,94334.7
2024-12-28T08:00:00.000000,94334.6,95346.1,94261.7,94407.7
2024-12-28T16:00:00.000000,94407.8,95700.0,94356.5,95259.1
2024-12-29T00:00:00.000000,95259.1,95300.0,94761.0,95233.2
2024-12-29T08:00:00.000000,95233.3,95286.4,93925.4,94468.4
2024-12-29T16:00:00.000000,94468.3,94537.7,92961.8,93700.0
2024-12-30T00:00:00.000000,93699.9,94240.0,93181.8,93688.9
2024-12-30T08:00:00.000000,93688.9,94249.9,91510.0,92081.5
2024-12-30T16:00:00.000000,92081.5,95031.6,91758.3,92759.3
2024-12-31T00:00:00.000000,92759.3,93000.0,92000.0,92819.6
2024-12-31T08:00:00.000000,92819.5,96254.3,92800.0,95389.4
2024-12-31T16:00:00.000000,95389.3,95569.6,93145.1,93548.9
2025-01-01T00:00:00.000000,93548.8,94449.2,93460.2,93660.7
2025-01-01T08:00:00.000000,93660.7,94489.5,92796.5,94409.9
2025-01-01T16:00:00.000000,94409.9,95161.2,93729.2,94580.9
2025-01-02T00:00:00.000000,94580.9,96031.4,94357.4,95815.3
2025-01-02T08:00:00.000000,95815.4,97440.0,95612.5,96428.5
2025-01-02T16:00:00.000000,96428.5,97822.4,96018.7,96967.5
2025-01-03T00:00:00.000000,96967.6,97325.7,96236.6,96275.0
2025-01-03T08:00:00.000000,96275.1,97637.7,96061.5,97479.5
2025-01-03T16:00:00.000000,97479.6,98949.0,97353.6,98145.7
2025-01-04T00:00:00.000000,98145.7,98300.0,97762.1,98244.2
2025-01-04T08:00:00.000000,98244.2,98300.0,97438.2,97623.6
2025-01-04T16:00:00.000000,97623.5,98760.9,97535.7,98173.2
2025-01-05T00:00:00.000000,98173.2,98496.3,98001.1,98225.3
